Date,Precipitation,Temperature,Wind Speed,Humidity,Daylight Hours
2020-01-01,0.0,6.5,3.0,56.0,5.0
2020-01-02,0.0,8.4,3.4,58.0,8.0
2020-01-03,0.0,9.7,3.1,57.0,5.5
2020-01-04,0.0,9.4,4.6,56.0,7.2
2020-01-05,0.0,6.7,3.5,63.0,3.3
2020-01-06,0.0,7.3,2.1,58.0,5.6
2020-01-07,1.0,7.7,5.0,76.0,0.0
2020-01-08,23.0,13.0,7.3,69.0,4.7
2020-01-09,0.0,10.4,3.6,63.0,3.3
2020-01-10,0.0,9.3,3.2,57.0,7.2
2020-01-11,0.0,8.1,2.4,69.0,8.0
2020-01-12,0.0,9.0,2.7,72.0,0.0
2020-01-13,0.0,8.6,5.0,52.0,8.1
2020-01-14,1.5,7.4,1.9,62.0,3.7
2020-01-15,0.5,7.3,3.7,68.0,3.8
2020-01-16,0.0,6.9,2.3,68.0,4.4
2020-01-17,0.0,7.7,2.9,70.0,0.0
2020-01-18,0.0,8.6,3.6,52.0,7.7
2020-01-19,0.0,8.0,2.4,59.0,5.6
2020-01-20,0.0,9.5,3.6,52.0,3.6
2020-01-21,0.0,7.6,4.2,59.0,4.8
2020-01-22,2.0,7.6,3.0,66.0,2.6
2020-01-23,27.0,10.6,5.1,90.0,0.0
2020-01-24,0.0,11.4,2.6,73.0,0.8
2020-01-25,0.0,8.5,4.0,53.0,0.8
2020-01-26,0.0,9.4,2.7,57.0,2.7
2020-01-27,5.0,9.2,12.6,66.0,0.0
2020-01-28,1.0,12.7,9.0,71.0,3.8
2020-01-29,1.0,11.5,4.3,71.0,5.3
2020-01-30,0.5,8.5,3.6,65.0,6.8
2020-01-31,0.0,6.4,4.2,61.0,5.2
2020-02-01,0.0,7.0,3.5,50.0,4.3
2020-02-02,0.0,7.7,1.9,61.0,7.7
2020-02-03,0.0,8.4,3.1,63.0,4.3
2020-02-04,0.0,7.5,2.7,46.0,10.1
2020-02-05,0.0,7.0,4.6,52.0,7.3
2020-02-06,0.0,2.8,5.6,57.0,8.6
2020-02-07,0.0,3.3,1.8,58.0,0.6
2020-02-08,0.0,7.0,3.0,62.0,5.6
2020-02-09,0.0,3.7,5.0,54.0,6.9
2020-02-10,0.0,5.6,3.7,60.0,5.2
2020-02-11,0.0,6.9,2.6,57.0,9.8
2020-02-12,6.0,9.9,3.8,65.0,3.7
2020-02-13,5.0,14.7,3.4,79.0,7.3
2020-02-14,0.0,12.1,2.6,81.0,0.4
2020-02-15,0.0,11.3,2.1,78.0,0.0
2020-02-16,17.0,12.6,5.3,87.0,0.0
2020-02-17,0.0,7.4,7.6,51.0,5.2
2020-02-18,0.0,5.2,6.0,58.0,4.7
2020-02-19,0.0,7.4,2.6,58.0,10.2
2020-02-20,0.0,8.7,2.9,62.0,8.4
2020-02-21,0.0,9.5,1.9,62.0,10.5
2020-02-22,10.0,10.9,3.8,71.0,1.9
2020-02-23,0.0,9.2,3.4,49.0,4.6
2020-02-24,0.0,8.8,2.2,57.0,10.5
2020-02-25,4.5,11.2,3.2,63.0,0.0
2020-02-26,5.0,10.4,3.2,74.0,1.6
2020-02-27,0.5,6.4,4.6,60.0,6.4
2020-02-28,0.0,7.0,2.8,53.0,4.2
2020-02-29,7.0,8.5,3.6,79.0,0.0
2020-03-01,0.0,10.6,2.2,71.0,5.7
2020-03-02,0.0,12.3,4.1,57.0,10.3
2020-03-03,0.0,10.5,2.6,55.0,8.1
2020-03-04,16.0,9.4,3.5,81.0,0.0
2020-03-05,1.5,7.2,4.9,65.0,7.4
2020-03-06,0.0,7.7,3.4,54.0,9.5
2020-03-07,1.5,9.4,3.2,57.0,6.4
2020-03-08,8.5,11.0,6.1,73.0,1.5
2020-03-09,0.0,12.4,1.6,65.0,8.5
2020-03-10,10.0,14.8,4.2,84.0,0.1
2020-03-11,0.0,12.5,4.9,58.0,6.1
2020-03-12,0.0,9.9,2.8,46.0,11.3
2020-03-13,0.0,11.5,2.5,59.0,9.2
2020-03-14,12.0,9.3,2.0,74.0,0.0
2020-03-15,2.5,8.4,4.2,60.0,9.1
2020-03-16,3.0,5.9,4.9,65.0,8.9
2020-03-17,0.0,8.6,2.5,61.0,11.2
2020-03-18,0.0,12.9,2.5,61.0,8.3
2020-03-19,0.0,15.2,3.1,73.0,9.8
2020-03-20,0.0,12.7,5.0,41.0,10.6
2020-03-21,0.0,13.2,2.7,57.0,11.0
2020-03-22,0.0,15.5,2.6,68.0,1.6
2020-03-23,0.0,12.5,4.6,49.0,11.0
2020-03-24,0.0,9.9,4.4,44.0,9.7
2020-03-25,0.0,10.0,2.3,54.0,11.8
2020-03-26,0.0,14.2,2.7,57.0,8.2
2020-03-27,29.5,16.9,2.3,89.0,0.0
2020-03-28,7.5,13.6,2.6,81.0,0.0
2020-03-29,8.5,9.9,3.4,66.0,5.6
2020-03-30,0.0,11.1,3.2,64.0,0.0
2020-03-31,0.0,15.4,7.4,70.0,1.4
2020-04-01,21.0,14.2,8.0,80.0,0.0
2020-04-02,0.0,11.8,4.4,56.0,6.7
2020-04-03,0.0,11.7,2.1,54.0,7.4
2020-04-04,0.0,14.9,3.0,59.0,11.3
2020-04-05,0.0,10.4,5.0,48.0,8.0
2020-04-06,0.0,10.9,3.6,48.0,11.5
2020-04-07,0.0,12.3,3.0,48.0,11.0
2020-04-08,0.0,14.4,2.9,59.0,11.2
2020-04-09,0.0,13.0,3.6,46.0,11.9
2020-04-10,0.0,11.3,4.0,47.0,7.3
2020-04-11,0.0,11.1,2.8,57.0,9.0
2020-04-12,17.0,10.1,8.4,75.0,0.0
2020-04-13,12.0,11.1,7.0,81.0,0.0
2020-04-14,0.5,12.7,4.1,50.0,11.9
2020-04-15,0.0,13.4,2.9,54.0,8.3
2020-04-16,0.0,15.0,2.9,54.0,10.8
2020-04-17,0.0,15.8,4.3,62.0,7.3
2020-04-18,30.0,15.5,5.6,71.0,4.7
2020-04-19,0.0,15.3,3.5,63.0,1.2
2020-04-20,18.5,16.2,5.7,79.0,4.0
2020-04-21,0.0,16.0,4.0,57.0,2.9
2020-04-22,0.0,12.7,4.9,40.0,3.7
2020-04-23,0.0,11.5,5.1,50.0,8.9
2020-04-24,0.0,11.6,3.8,51.0,8.3
2020-04-25,0.0,14.0,3.4,55.0,12.7
2020-04-26,0.0,17.1,3.5,68.0,6.4
2020-04-27,0.0,15.4,2.7,54.0,8.2
2020-04-28,0.0,15.2,2.8,44.0,9.6
2020-04-29,0.0,16.0,3.3,51.0,12.6
2020-04-30,0.0,17.9,3.1,67.0,12.6
2020-05-01,0.0,19.4,3.4,71.0,11.3
2020-05-02,0.0,20.5,3.6,70.0,10.9
2020-05-03,2.0,19.2,2.2,76.0,0.7
2020-05-04,0.5,20.6,4.7,78.0,8.3
2020-05-05,0.0,22.0,2.2,62.0,8.0
2020-05-06,0.0,20.5,3.6,,0.1
2020-05-07,0.0,17.6,4.8,34.0,13.0
2020-05-08,0.0,17.8,3.8,60.0,8.7
2020-05-09,1.5,18.7,2.6,63.0,1.9
2020-05-10,1.5,20.5,4.0,83.0,0.0
2020-05-11,0.5,21.6,3.7,66.0,11.9
