É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/06/10 03:32:27

,éwèh,éwèh,éwèh
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,ïiéøèÓïÒ,ãœéøî‘çÜ
2025/5/20 1:00:00,0.0,8,1
2025/5/20 2:00:00,0.0,8,1
2025/5/20 3:00:00,0.0,8,1
2025/5/20 4:00:00,0.0,8,1
2025/5/20 5:00:00,0.0,8,1
2025/5/20 6:00:00,0.0,8,1
2025/5/20 7:00:00,0.0,8,1
2025/5/20 8:00:00,0.0,8,1
2025/5/20 9:00:00,0.0,8,1
2025/5/20 10:00:00,0.0,8,1
2025/5/20 11:00:00,0.0,8,1
2025/5/20 12:00:00,0.0,8,1
2025/5/20 13:00:00,0.0,8,1
2025/5/20 14:00:00,0.0,8,1
2025/5/20 15:00:00,0.0,8,1
2025/5/20 16:00:00,0.0,8,1
2025/5/20 17:00:00,0.0,8,1
2025/5/20 18:00:00,0.0,8,1
2025/5/20 19:00:00,0.0,8,1
2025/5/20 20:00:00,0.0,8,1
2025/5/20 21:00:00,0.0,8,1
2025/5/20 22:00:00,0.0,8,1
2025/5/20 23:00:00,0.0,8,1
2025/5/21 00:00:00,0.0,8,1
2025/5/21 1:00:00,0.0,8,1
2025/5/21 2:00:00,0.5,8,1
2025/5/21 3:00:00,4.5,8,1
2025/5/21 4:00:00,3.0,8,1
2025/5/21 5:00:00,2.0,8,1
2025/5/21 6:00:00,1.5,8,1
2025/5/21 7:00:00,7.5,8,1
2025/5/21 8:00:00,1.0,8,1
2025/5/21 9:00:00,1.0,8,1
2025/5/21 10:00:00,1.5,8,1
2025/5/21 11:00:00,3.0,8,1
2025/5/21 12:00:00,0.5,8,1
2025/5/21 13:00:00,2.0,8,1
2025/5/21 14:00:00,0.0,8,1
2025/5/21 15:00:00,1.0,8,1
2025/5/21 16:00:00,0.0,8,1
2025/5/21 17:00:00,0.0,8,1
2025/5/21 18:00:00,0.5,8,1
2025/5/21 19:00:00,5.5,8,1
2025/5/21 20:00:00,14.5,8,1
2025/5/21 21:00:00,3.0,8,1
2025/5/21 22:00:00,0.0,8,1
2025/5/21 23:00:00,0.0,8,1
2025/5/22 00:00:00,0.5,8,1
2025/5/22 1:00:00,0.5,8,1
2025/5/22 2:00:00,0.0,8,1
2025/5/22 3:00:00,0.0,8,1
2025/5/22 4:00:00,0.5,8,1
2025/5/22 5:00:00,0.0,8,1
2025/5/22 6:00:00,0.0,8,1
2025/5/22 7:00:00,0.0,8,1
2025/5/22 8:00:00,0.0,8,1
2025/5/22 9:00:00,0.0,8,1
2025/5/22 10:00:00,0.0,8,1
2025/5/22 11:00:00,0.0,8,1
2025/5/22 12:00:00,0.0,8,1
2025/5/22 13:00:00,0.0,8,1
2025/5/22 14:00:00,0.0,8,1
2025/5/22 15:00:00,0.0,8,1
2025/5/22 16:00:00,0.0,8,1
2025/5/22 17:00:00,0.0,8,1
2025/5/22 18:00:00,0.0,8,1
2025/5/22 19:00:00,0.0,8,1
2025/5/22 20:00:00,0.0,8,1
2025/5/22 21:00:00,0.0,8,1
2025/5/22 22:00:00,0.0,8,1
2025/5/22 23:00:00,0.0,8,1
2025/5/23 00:00:00,0.0,8,1
2025/5/23 1:00:00,0.0,8,1
2025/5/23 2:00:00,0.0,8,1
2025/5/23 3:00:00,0.0,8,1
2025/5/23 4:00:00,0.0,8,1
2025/5/23 5:00:00,0.0,8,1
2025/5/23 6:00:00,0.0,8,1
2025/5/23 7:00:00,0.0,8,1
2025/5/23 8:00:00,0.0,8,1
2025/5/23 9:00:00,0.0,8,1
2025/5/23 10:00:00,0.0,8,1
2025/5/23 11:00:00,0.0,8,1
2025/5/23 12:00:00,0.0,8,1
2025/5/23 13:00:00,0.0,8,1
2025/5/23 14:00:00,0.0,8,1
2025/5/23 15:00:00,0.0,8,1
2025/5/23 16:00:00,0.0,8,1
2025/5/23 17:00:00,0.0,8,1
2025/5/23 18:00:00,0.0,8,1
2025/5/23 19:00:00,0.0,8,1
2025/5/23 20:00:00,0.0,8,1
2025/5/23 21:00:00,0.0,8,1
2025/5/23 22:00:00,0.0,8,1
2025/5/23 23:00:00,0.0,8,1
2025/5/24 00:00:00,0.0,8,1
2025/5/24 1:00:00,0.5,8,1
2025/5/24 2:00:00,1.0,8,1
2025/5/24 3:00:00,3.0,8,1
2025/5/24 4:00:00,5.0,8,1
2025/5/24 5:00:00,4.0,8,1
2025/5/24 6:00:00,4.0,8,1
2025/5/24 7:00:00,4.5,8,1
2025/5/24 8:00:00,7.5,8,1
2025/5/24 9:00:00,4.5,8,1
2025/5/24 10:00:00,7.0,8,1
2025/5/24 11:00:00,8.0,8,1
2025/5/24 12:00:00,13.5,8,1
2025/5/24 13:00:00,16.5,8,1
2025/5/24 14:00:00,1.0,8,1
2025/5/24 15:00:00,0.0,8,1
2025/5/24 16:00:00,0.0,8,1
2025/5/24 17:00:00,0.0,8,1
2025/5/24 18:00:00,0.0,8,1
2025/5/24 19:00:00,0.0,8,1
2025/5/24 20:00:00,0.0,8,1
2025/5/24 21:00:00,0.5,8,1
2025/5/24 22:00:00,0.0,8,1
2025/5/24 23:00:00,0.0,8,1
2025/5/25 00:00:00,0.0,8,1
2025/5/25 1:00:00,0.0,8,1
2025/5/25 2:00:00,0.0,8,1
2025/5/25 3:00:00,0.0,8,1
2025/5/25 4:00:00,0.0,8,1
2025/5/25 5:00:00,0.0,8,1
2025/5/25 6:00:00,0.0,8,1
2025/5/25 7:00:00,0.0,8,1
2025/5/25 8:00:00,0.0,8,1
2025/5/25 9:00:00,0.0,8,1
2025/5/25 10:00:00,0.0,8,1
2025/5/25 11:00:00,0.0,8,1
2025/5/25 12:00:00,0.0,8,1
2025/5/25 13:00:00,0.0,8,1
2025/5/25 14:00:00,0.0,8,1
2025/5/25 15:00:00,0.0,8,1
2025/5/25 16:00:00,0.0,8,1
2025/5/25 17:00:00,0.0,8,1
2025/5/25 18:00:00,0.0,8,1
2025/5/25 19:00:00,0.0,8,1
2025/5/25 20:00:00,0.0,8,1
2025/5/25 21:00:00,0.0,8,1
2025/5/25 22:00:00,0.0,8,1
2025/5/25 23:00:00,0.0,8,1
2025/5/26 00:00:00,0.0,8,1
2025/5/26 1:00:00,0.0,8,1
2025/5/26 2:00:00,0.0,8,1
2025/5/26 3:00:00,0.0,8,1
2025/5/26 4:00:00,0.0,8,1
2025/5/26 5:00:00,0.0,8,1
2025/5/26 6:00:00,0.0,8,1
2025/5/26 7:00:00,0.0,8,1
2025/5/26 8:00:00,0.0,8,1
2025/5/26 9:00:00,0.0,8,1
2025/5/26 10:00:00,0.0,8,1
2025/5/26 11:00:00,0.0,8,1
2025/5/26 12:00:00,0.0,8,1
2025/5/26 13:00:00,0.0,8,1
2025/5/26 14:00:00,0.0,8,1
2025/5/26 15:00:00,0.0,8,1
2025/5/26 16:00:00,0.0,8,1
2025/5/26 17:00:00,0.0,8,1
2025/5/26 18:00:00,0.0,8,1
2025/5/26 19:00:00,0.0,8,1
2025/5/26 20:00:00,0.0,8,1
2025/5/26 21:00:00,0.0,8,1
2025/5/26 22:00:00,0.0,8,1
2025/5/26 23:00:00,0.0,8,1
2025/5/27 00:00:00,0.0,8,1
2025/5/27 1:00:00,0.0,8,1
2025/5/27 2:00:00,0.0,8,1
