É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/07/02 22:39:47

,çLìá,çLìá,çLìá,çLìá
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2014/8/17 1:00:00,0.0,0,8,1
2014/8/17 2:00:00,0.0,0,8,1
2014/8/17 3:00:00,0.5,0,8,1
2014/8/17 4:00:00,1.5,0,8,1
2014/8/17 5:00:00,0.0,0,8,1
2014/8/17 6:00:00,0.0,0,8,1
2014/8/17 7:00:00,0.5,0,8,1
2014/8/17 8:00:00,1.0,0,8,1
2014/8/17 9:00:00,0.5,0,8,1
2014/8/17 10:00:00,0,1,8,1
2014/8/17 11:00:00,0,1,8,1
2014/8/17 12:00:00,0,1,8,1
2014/8/17 13:00:00,0,1,8,1
2014/8/17 14:00:00,0,1,8,1
2014/8/17 15:00:00,0,1,8,1
2014/8/17 16:00:00,0,1,8,1
2014/8/17 17:00:00,0,1,8,1
2014/8/17 18:00:00,0,1,8,1
2014/8/17 19:00:00,0,1,8,1
2014/8/17 20:00:00,0,1,8,1
2014/8/17 21:00:00,0,1,8,1
2014/8/17 22:00:00,0,1,8,1
2014/8/17 23:00:00,0.0,0,8,1
2014/8/18 00:00:00,0,1,8,1
2014/8/18 1:00:00,0,1,8,1
2014/8/18 2:00:00,0,1,8,1
2014/8/18 3:00:00,0,1,8,1
2014/8/18 4:00:00,0,1,8,1
2014/8/18 5:00:00,0,1,8,1
2014/8/18 6:00:00,0,1,8,1
2014/8/18 7:00:00,0,1,8,1
2014/8/18 8:00:00,0.0,0,8,1
2014/8/18 9:00:00,0.0,0,8,1
2014/8/18 10:00:00,0,1,8,1
2014/8/18 11:00:00,0.0,0,8,1
2014/8/18 12:00:00,0,1,8,1
2014/8/18 13:00:00,0,1,8,1
2014/8/18 14:00:00,0,1,8,1
2014/8/18 15:00:00,0.0,0,8,1
2014/8/18 16:00:00,0.0,0,8,1
2014/8/18 17:00:00,0.0,0,8,1
2014/8/18 18:00:00,0,1,8,1
2014/8/18 19:00:00,0.0,0,8,1
2014/8/18 20:00:00,0,1,8,1
2014/8/18 21:00:00,0,1,8,1
2014/8/18 22:00:00,0,1,8,1
2014/8/18 23:00:00,0,1,8,1
2014/8/19 00:00:00,0.0,0,8,1
2014/8/19 1:00:00,0.0,0,8,1
2014/8/19 2:00:00,0,1,8,1
2014/8/19 3:00:00,0,1,8,1
2014/8/19 4:00:00,0.0,0,8,1
2014/8/19 5:00:00,0,1,8,1
2014/8/19 6:00:00,0,1,8,1
2014/8/19 7:00:00,0.0,0,8,1
2014/8/19 8:00:00,0.0,0,8,1
2014/8/19 9:00:00,0,1,8,1
2014/8/19 10:00:00,0.0,0,8,1
2014/8/19 11:00:00,0.0,0,8,1
2014/8/19 12:00:00,0,1,8,1
2014/8/19 13:00:00,0,1,8,1
2014/8/19 14:00:00,0,1,8,1
2014/8/19 15:00:00,0,1,8,1
2014/8/19 16:00:00,0.0,0,8,1
2014/8/19 17:00:00,0.0,0,8,1
2014/8/19 18:00:00,0.0,0,8,1
2014/8/19 19:00:00,2.0,0,8,1
2014/8/19 20:00:00,0,1,8,1
2014/8/19 21:00:00,8.5,0,8,1
2014/8/19 22:00:00,41.5,0,8,1
2014/8/19 23:00:00,13.0,0,8,1
2014/8/20 00:00:00,2.5,0,8,1
2014/8/20 1:00:00,0.5,0,8,1
2014/8/20 2:00:00,0.0,0,8,1
2014/8/20 3:00:00,9.5,0,8,1
2014/8/20 4:00:00,1.0,0,8,1
2014/8/20 5:00:00,0.0,0,8,1
2014/8/20 6:00:00,0.0,0,8,1
2014/8/20 7:00:00,0.0,0,8,1
2014/8/20 8:00:00,0.0,0,8,1
2014/8/20 9:00:00,0.0,0,8,1
2014/8/20 10:00:00,0,1,8,1
2014/8/20 11:00:00,0.0,0,8,1
2014/8/20 12:00:00,0.0,0,8,1
2014/8/20 13:00:00,0,1,8,1
2014/8/20 14:00:00,0.0,0,8,1
2014/8/20 15:00:00,0.0,0,8,1
2014/8/20 16:00:00,0.0,0,8,1
2014/8/20 17:00:00,0.0,0,8,1
2014/8/20 18:00:00,0.0,0,8,1
2014/8/20 19:00:00,0.0,0,8,1
2014/8/20 20:00:00,0,1,8,1
2014/8/20 21:00:00,0,1,8,1
2014/8/20 22:00:00,0,1,8,1
2014/8/20 23:00:00,0,1,8,1
2014/8/21 00:00:00,0,1,8,1
2014/8/21 1:00:00,0.0,0,8,1
2014/8/21 2:00:00,0,1,8,1
2014/8/21 3:00:00,0,1,8,1
2014/8/21 4:00:00,0,1,8,1
2014/8/21 5:00:00,0,1,8,1
2014/8/21 6:00:00,0,1,8,1
2014/8/21 7:00:00,0,1,8,1
2014/8/21 8:00:00,0,1,8,1
2014/8/21 9:00:00,0,1,8,1
2014/8/21 10:00:00,0,1,8,1
2014/8/21 11:00:00,0,1,8,1
2014/8/21 12:00:00,0,1,8,1
2014/8/21 13:00:00,0,1,8,1
2014/8/21 14:00:00,0,1,8,1
2014/8/21 15:00:00,0,1,8,1
2014/8/21 16:00:00,0,1,8,1
2014/8/21 17:00:00,0,1,8,1
2014/8/21 18:00:00,0,1,8,1
2014/8/21 19:00:00,0,1,8,1
2014/8/21 20:00:00,0,1,8,1
2014/8/21 21:00:00,0.0,0,8,1
2014/8/21 22:00:00,0.0,0,8,1
2014/8/21 23:00:00,0,1,8,1
2014/8/22 00:00:00,0.0,0,8,1
