Date,Temparature
2015/1/1,2.4
2015/1/2,2.4
2015/1/3,4
2015/1/4,6.9
2015/1/5,9
2015/1/6,9.3
2015/1/7,6
2015/1/8,5.1
2015/1/9,5.7
2015/1/10,6
2015/1/11,6.5
2015/1/12,4.8
2015/1/13,5.9
2015/1/14,6.1
2015/1/15,8.5
2015/1/16,7.7
2015/1/17,5.7
2015/1/18,5.3
2015/1/19,7.1
2015/1/20,6.8
2015/1/21,7.3
2015/1/22,9.3
2015/1/23,6.5
2015/1/24,6.7
2015/1/25,7.9
2015/1/26,9.5
2015/1/27,10.3
2015/1/28,3.9
2015/1/29,3.6
2015/1/30,6
2015/1/31,3.8
2015/2/1,3.1
2015/2/2,4.5
2015/2/3,5.7
2015/2/4,6.6
2015/2/5,6.5
2015/2/6,5.6
2015/2/7,6
2015/2/8,6.2
2015/2/9,1.4
2015/2/10,4.5
2015/2/11,8.4
2015/2/12,7.7
2015/2/13,3.7
2015/2/14,4.9
2015/2/15,7
2015/2/16,6.9
2015/2/17,8
2015/2/18,7.6
2015/2/19,6
2015/2/20,6
2015/2/21,7.8
2015/2/22,12.4
2015/2/23,12.5
2015/2/24,9.2
2015/2/25,9.6
2015/2/26,9.6
2015/2/27,6.8
2015/2/28,6.8
2015/3/1,8.1
2015/3/2,7.2
2015/3/3,8
2015/3/4,9.6
2015/3/5,5.8
2015/3/6,7.5
2015/3/7,9.1
2015/3/8,10.2
2015/3/9,9.9
2015/3/10,4.5
2015/3/11,4.4
2015/3/12,7.4
2015/3/13,8.1
2015/3/14,8.1
2015/3/15,8.3
2015/3/16,13
2015/3/17,13.5
2015/3/18,15.8
2015/3/19,16.2
2015/3/20,14.2
2015/3/21,12.7
2015/3/22,14
2015/3/23,9.6
2015/3/24,6.8
2015/3/25,7
2015/3/26,8.3
2015/3/27,11.2
2015/3/28,14.2
2015/3/29,13.7
2015/3/30,13.9
2015/3/31,16.5
2015/4/1,15.3
2015/4/2,15.3
2015/4/3,18.1
2015/4/4,18.3
2015/4/5,16.9
2015/4/6,16.1
2015/4/7,10.7
2015/4/8,8.1
2015/4/9,11.1
2015/4/10,11.7
2015/4/11,12.6
2015/4/12,14.5
2015/4/13,14.4
2015/4/14,15.5
2015/4/15,13
2015/4/16,16.1
2015/4/17,16.3
2015/4/18,16
2015/4/19,18.4
2015/4/20,18.4
2015/4/21,14
2015/4/22,15.5
2015/4/23,17.9
2015/4/24,18.7
2015/4/25,18.7
2015/4/26,18.6
2015/4/27,20.5
2015/4/28,20.3
2015/4/29,19.6
2015/4/30,19.6
2015/5/1,20.6
2015/5/2,20.8
2015/5/3,20.8
2015/5/4,20
2015/5/5,18.7
2015/5/6,19.8
2015/5/7,19.9
2015/5/8,20.6
2015/5/9,19.4
2015/5/10,18.8
2015/5/11,18
2015/5/12,18.8
2015/5/13,19.5
2015/5/14,20.6
2015/5/15,23.2
2015/5/16,20.9
2015/5/17,20.4
2015/5/18,20.3
2015/5/19,22.3
2015/5/20,21.1
2015/5/21,18.1
2015/5/22,20.7
2015/5/23,21
2015/5/24,21.9
2015/5/25,22
2015/5/26,23.8
2015/5/27,25
2015/5/28,24.8
2015/5/29,25.3
2015/5/30,23.9
2015/5/31,23.8
2015/6/1,23.1
2015/6/2,24.1
2015/6/3,21.6
2015/6/4,21.6
2015/6/5,17.2
2015/6/6,19.4
2015/6/7,21.1
2015/6/8,21.3
2015/6/9,20.7
2015/6/10,22.8
2015/6/11,22.3
2015/6/12,23.4
2015/6/13,24.8
2015/6/14,22.6
2015/6/15,23.6
2015/6/16,23.6
2015/6/17,23.9
2015/6/18,22.3
2015/6/19,20.9
2015/6/20,23.2
2015/6/21,23.8
2015/6/22,23.8
2015/6/23,24.4
2015/6/24,25.2
2015/6/25,25.6
2015/6/26,22.9
2015/6/27,23.9
2015/6/28,21.9
2015/6/29,22.8
2015/6/30,22.9
2015/7/1,23.5
2015/7/2,24
2015/7/3,24.2
2015/7/4,22.2
2015/7/5,22.4
2015/7/6,22.9
2015/7/7,23.4
2015/7/8,25.5
2015/7/9,26.3
2015/7/10,26.4
2015/7/11,26.7
2015/7/12,28.3
2015/7/13,28.4
2015/7/14,28.5
2015/7/15,29.6
2015/7/16,28.1
2015/7/17,23.4
2015/7/18,25.4
2015/7/19,26.9
2015/7/20,27.8
2015/7/21,27.3
2015/7/22,25.2
2015/7/23,24.9
2015/7/24,27.5
2015/7/25,28
2015/7/26,28.4
2015/7/27,28.1
2015/7/28,29.4
2015/7/29,29.8
2015/7/30,30.4
2015/7/31,31
2015/8/1,31.1
2015/8/2,30
2015/8/3,30.1
2015/8/4,30.1
2015/8/5,30.6
2015/8/6,30.1
2015/8/7,30.8
2015/8/8,30.5
2015/8/9,30
2015/8/10,30.2
2015/8/11,30.3
2015/8/12,29.2
2015/8/13,27.5
2015/8/14,28.8
2015/8/15,28.8
2015/8/16,27.4
2015/8/17,25.8
2015/8/18,27.4
2015/8/19,25.9
2015/8/20,26.1
2015/8/21,27.3
2015/8/22,28.7
2015/8/23,28.2
2015/8/24,28
2015/8/25,26
2015/8/26,27.1
2015/8/27,27.3
2015/8/28,27.7
2015/8/29,26.6
2015/8/30,25.8
2015/8/31,25
2015/9/1,25.6
2015/9/2,26.1
2015/9/3,24
2015/9/4,26
2015/9/5,25.5
2015/9/6,23.3
2015/9/7,24.1
2015/9/8,23.2
2015/9/9,22.8
2015/9/10,23
2015/9/11,22.5
2015/9/12,23.4
2015/9/13,24.5
2015/9/14,23
2015/9/15,24
2015/9/16,22.8
2015/9/17,21.9
2015/9/18,22.6
2015/9/19,22.6
2015/9/20,22.9
2015/9/21,23.3
2015/9/22,24
2015/9/23,25.1
2015/9/24,22
2015/9/25,22.8
2015/9/26,24.4
2015/9/27,23.8
2015/9/28,23.6
2015/9/29,23.1
2015/9/30,20.9
2015/10/1,22.2
2015/10/2,23.1
2015/10/3,21.3
2015/10/4,20.9
2015/10/5,19.1
2015/10/6,19.7
2015/10/7,20.1
2015/10/8,20
2015/10/9,20
2015/10/10,20.2
2015/10/11,20.2
2015/10/12,18.3
2015/10/13,19
2015/10/14,19
2015/10/15,18.7
2015/10/16,19.4
2015/10/17,20.3
2015/10/18,20.9
2015/10/19,20.1
2015/10/20,20.7
2015/10/21,21.4
2015/10/22,19.4
2015/10/23,19.2
2015/10/24,20.4
2015/10/25,16.1
2015/10/26,15.3
2015/10/27,19.8
2015/10/28,19
2015/10/29,16.4
2015/10/30,17
2015/10/31,14.7
2015/11/1,14.4
2015/11/2,14.2
2015/11/3,15.5
2015/11/4,17
2015/11/5,19.4
2015/11/6,19.6
2015/11/7,19.9
2015/11/8,17.9
2015/11/9,19.5
2015/11/10,18.1
2015/11/11,15.6
2015/11/12,16.1
2015/11/13,16.2
2015/11/14,17.8
2015/11/15,18.3
2015/11/16,17.1
2015/11/17,18.7
2015/11/18,17.6
2015/11/19,15.3
2015/11/20,15.7
2015/11/21,16.3
2015/11/22,15.5
2015/11/23,17.3
2015/11/24,15.1
2015/11/25,11.3
2015/11/26,11.1
2015/11/27,8.5
2015/11/28,10.3
2015/11/29,10.5
2015/11/30,11.8
2015/12/1,11.3
2015/12/2,13.1
2015/12/3,12.3
2015/12/4,8.9
2015/12/5,10.5
2015/12/6,11.1
2015/12/7,11.1
2015/12/8,10.3
2015/12/9,10.7
2015/12/10,14.6
2015/12/11,16
2015/12/12,12.1
2015/12/13,12.7
2015/12/14,12.9
2015/12/15,14.2
2015/12/16,12.7
2015/12/17,7.3
2015/12/18,6.9
2015/12/19,7.7
2015/12/20,7.9
2015/12/21,9.6
2015/12/22,10.9
2015/12/23,10.7
2015/12/24,13
2015/12/25,11
2015/12/26,8.9
2015/12/27,8
2015/12/28,6.2
2015/12/29,6.5
2015/12/30,7.2
2015/12/31,7.2
2016/1/1,7.9
2016/1/2,8.8
2016/1/3,11
2016/1/4,11.8
2016/1/5,10.3
2016/1/6,10.2
2016/1/7,9.1
2016/1/8,8
2016/1/9,7.3
2016/1/10,8
2016/1/11,8.5
2016/1/12,7.3
2016/1/13,5.6
2016/1/14,5.5
2016/1/15,6.1
2016/1/16,6.4
2016/1/17,6.9
2016/1/18,8.7
2016/1/19,2.6
2016/1/20,4
2016/1/21,5.3
2016/1/22,5.4
2016/1/23,4.5
2016/1/24,-0.8
2016/1/25,1.4
2016/1/26,4.6
2016/1/27,7.3
2016/1/28,8.1
2016/1/29,9.2
2016/1/30,8.8
2016/1/31,8
2016/2/1,7.8
2016/2/2,6.7
2016/2/3,5.5
2016/2/4,6.5
2016/2/5,7.6
2016/2/6,6.8
2016/2/7,4.6
2016/2/8,5.7
2016/2/9,7.5
2016/2/10,5.6
2016/2/11,6.9
2016/2/12,11.9
2016/2/13,14.7
2016/2/14,15.5
2016/2/15,6.4
2016/2/16,4.5
2016/2/17,5.9
2016/2/18,6
2016/2/19,9.7
2016/2/20,10
2016/2/21,7.8
