Date,Precipitation,Temperature,Wind Speed,Humidity,Daylight Hours
2020/1/1,0.0,6.5,3.0,56,5.0
2020/1/2,0.0,8.4,3.4,58,8.0
2020/1/3,0.0,9.7,3.1,57,5.5
2020/1/4,0.0,9.4,4.6,56,7.2
2020/1/5,0.0,6.7,3.5,63,3.3
2020/1/6,0.0,7.3,2.1,58,5.6
2020/1/7,1.0,7.7,5.0,76,0.0
2020/1/8,23.0,13.0,7.3,69,4.7
2020/1/9,0.0,10.4,3.6,63,3.3
2020/1/10,0.0,9.3,3.2,57,7.2
2020/1/11,0.0,8.1,2.4,69,8.0
2020/1/12,0.0,9.0,2.7,72,0.0
2020/1/13,0.0,8.6,5.0,52,8.1
2020/1/14,1.5,7.4,1.9,62,3.7
2020/1/15,0.5,7.3,3.7,68,3.8
2020/1/16,0.0,6.9,2.3,68,4.4
2020/1/17,0.0,7.7,2.9,70,0.0
2020/1/18,0.0,8.6,3.6,52,7.7
2020/1/19,0.0,8.0,2.4,59,5.6
2020/1/20,0.0,9.5,3.6,52,3.6
2020/1/21,0.0,7.6,4.2,59,4.8
2020/1/22,2.0,7.6,3.0,66,2.6
2020/1/23,27.0,10.6,5.1,90,0.0
2020/1/24,0.0,11.4,2.6,73,0.8
2020/1/25,0.0,8.5,4.0,53,0.8
2020/1/26,0.0,9.4,2.7,57,2.7
2020/1/27,5.0,9.2,12.6,66,0.0
2020/1/28,1.0,12.7,9.0,71,3.8
2020/1/29,1.0,11.5,4.3,71,5.3
2020/1/30,0.5,8.5,3.6,65,6.8
2020/1/31,0.0,6.4,4.2,61,5.2
2020/2/1,0.0,7.0,3.5,50,4.3
2020/2/2,0.0,7.7,1.9,61,7.7
2020/2/3,0.0,8.4,3.1,63,4.3
2020/2/4,0.0,7.5,2.7,46,10.1
2020/2/5,0.0,7.0,4.6,52,7.3
2020/2/6,0.0,2.8,5.6,57,8.6
2020/2/7,0.0,3.3,1.8,58,0.6
2020/2/8,0.0,7.0,3.0,62,5.6
2020/2/9,0.0,3.7,5.0,54,6.9
2020/2/10,0.0,5.6,3.7,60,5.2
2020/2/11,0.0,6.9,2.6,57,9.8
2020/2/12,6.0,9.9,3.8,65,3.7
2020/2/13,5.0,14.7,3.4,79,7.3
2020/2/14,0.0,12.1,2.6,81,0.4
2020/2/15,0.0,11.3,2.1,78,0.0
2020/2/16,17.0,12.6,5.3,87,0.0
2020/2/17,0.0,7.4,7.6,51,5.2
2020/2/18,0.0,5.2,6.0,58,4.7
2020/2/19,0.0,7.4,2.6,58,10.2
2020/2/20,0.0,8.7,2.9,62,8.4
2020/2/21,0.0,9.5,1.9,62,10.5
2020/2/22,10.0,10.9,3.8,71,1.9
2020/2/23,0.0,9.2,3.4,49,4.6
2020/2/24,0.0,8.8,2.2,57,10.5
2020/2/25,4.5,11.2,3.2,63,0.0
2020/2/26,5.0,10.4,3.2,74,1.6
2020/2/27,0.5,6.4,4.6,60,6.4
2020/2/28,0.0,7.0,2.8,53,4.2
