É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/06/04 12:36:36

,çÇím,çÇím,çÇím,çÇím,òaâÃéR,òaâÃéR,òaâÃéR,òaâÃéR,ñLã¥,ñLã¥,ñLã¥,Ç¬Ç≠ÇŒÅiäŸñÏÅj,Ç¬Ç≠ÇŒÅiäŸñÏÅj,Ç¬Ç≠ÇŒÅiäŸñÏÅj,Ç¬Ç≠ÇŒÅiäŸñÏÅj
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2023/5/29 1:00:00,0.0,0,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/29 2:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/29 3:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/29 4:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/29 5:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.5,0,8,1
2023/5/29 6:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/29 7:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0.5,0,8,1
2023/5/29 8:00:00,0.0,0,8,1,0,1,8,1,0.0,8,1,0.5,0,8,1
2023/5/29 9:00:00,0.0,0,8,1,0,1,8,1,0.0,8,1,0.0,0,8,1
2023/5/29 10:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.5,0,8,1
2023/5/29 11:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.5,0,8,1
2023/5/29 12:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/29 13:00:00,0,1,8,1,0.0,0,8,1,0.5,8,1,0.5,0,8,1
2023/5/29 14:00:00,0,1,8,1,0.0,0,8,1,0.5,8,1,0.0,0,8,1
2023/5/29 15:00:00,0,1,8,1,0.0,0,8,1,0.5,8,1,0.0,0,8,1
2023/5/29 16:00:00,0.0,0,8,1,0.0,0,8,1,0.5,8,1,0.0,0,8,1
2023/5/29 17:00:00,0.0,0,8,1,0.0,0,8,1,1.0,8,1,0.0,0,8,1
2023/5/29 18:00:00,0.0,0,8,1,2.0,0,8,1,1.0,8,1,0.0,0,8,1
2023/5/29 19:00:00,0.0,0,8,1,2.5,0,8,1,1.0,8,1,1.0,0,8,1
2023/5/29 20:00:00,0.0,0,8,1,1.5,0,8,1,1.5,8,1,2.0,0,8,1
2023/5/29 21:00:00,0.5,0,8,1,2.0,0,8,1,2.5,8,1,0.5,0,8,1
2023/5/29 22:00:00,0.0,0,8,1,1.5,0,8,1,4.5,8,1,1.0,0,8,1
2023/5/29 23:00:00,0,1,8,1,1.0,0,8,1,3.0,8,1,0.5,0,8,1
2023/5/30 00:00:00,0.0,0,8,1,1.0,0,8,1,2.5,8,1,0.5,0,8,1
2023/5/30 1:00:00,0.0,0,8,1,0.0,0,8,1,0.5,8,1,0.5,0,8,1
2023/5/30 2:00:00,0.5,0,8,1,0.0,0,8,1,1.0,8,1,0.0,0,8,1
2023/5/30 3:00:00,0.5,0,8,1,0.0,0,8,1,1.5,8,1,0.0,0,8,1
2023/5/30 4:00:00,0.5,0,8,1,11.0,0,8,1,0.5,8,1,0.5,0,8,1
2023/5/30 5:00:00,0.0,0,8,1,4.5,0,8,1,0.0,8,1,1.0,0,8,1
2023/5/30 6:00:00,0.0,0,8,1,5.5,0,8,1,0.0,8,1,1.0,0,8,1
2023/5/30 7:00:00,0.0,0,8,1,3.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/30 8:00:00,0.0,0,8,1,1.0,0,8,1,0.5,8,1,0.0,0,8,1
2023/5/30 9:00:00,1.0,0,8,1,0.5,0,8,1,0.5,8,1,0,1,8,1
2023/5/30 10:00:00,4.0,0,8,1,1.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 11:00:00,3.5,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 12:00:00,1.0,0,8,1,4.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 13:00:00,1.0,0,8,1,2.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 14:00:00,2.0,0,8,1,1.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 15:00:00,7.5,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 16:00:00,8.0,0,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 17:00:00,0.5,0,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 18:00:00,2.5,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 19:00:00,3.5,0,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 20:00:00,7.0,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 21:00:00,7.5,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/30 22:00:00,9.5,0,8,1,1.5,0,8,1,0.5,8,1,0,1,8,1
2023/5/30 23:00:00,6.5,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 00:00:00,8.0,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 1:00:00,4.5,0,8,1,1.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/31 2:00:00,1.0,0,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/31 3:00:00,0.5,0,8,1,1.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/31 4:00:00,0.0,0,8,1,0.5,0,8,1,0.5,8,1,0.0,0,8,1
2023/5/31 5:00:00,1.5,0,8,1,0.0,0,8,1,0.5,8,1,0.0,0,8,1
2023/5/31 6:00:00,0.5,0,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/31 7:00:00,1.5,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 8:00:00,3.0,0,8,1,0.5,0,8,1,2.0,8,1,0,1,8,1
2023/5/31 9:00:00,0.5,0,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 10:00:00,0.0,0,8,1,0.0,0,8,1,0.5,8,1,0.0,0,8,1
2023/5/31 11:00:00,1.0,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 12:00:00,0.0,0,8,1,0.0,0,8,1,0.0,8,1,0.0,0,8,1
2023/5/31 13:00:00,2.0,0,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 14:00:00,0.0,0,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 15:00:00,0.0,0,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/5/31 16:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/5/31 17:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/5/31 18:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/5/31 19:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/5/31 20:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/5/31 21:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/5/31 22:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/5/31 23:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 00:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 1:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 2:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 3:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 4:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 5:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 6:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 7:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 8:00:00,0,1,8,1,0.0,0,8,1,0.0,8,1,0,1,8,1
2023/6/1 9:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 10:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 11:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 12:00:00,0.0,0,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 13:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 14:00:00,0.0,0,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 15:00:00,0.0,0,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 16:00:00,0.0,0,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 17:00:00,2.0,0,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 18:00:00,6.0,0,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 19:00:00,23.0,0,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/1 20:00:00,3.0,0,8,1,1.0,0,8,1,0.0,8,1,0,1,8,1
2023/6/1 21:00:00,5.0,0,8,1,0.5,0,8,1,0.0,8,1,0,1,8,1
2023/6/1 22:00:00,9.5,0,8,1,1.5,0,8,1,0.0,8,1,0,1,8,1
2023/6/1 23:00:00,1.5,0,8,1,2.5,0,8,1,0.0,8,1,0,1,8,1
2023/6/2 00:00:00,3.5,0,8,1,4.0,0,8,1,2.0,8,1,0.0,0,8,1
2023/6/2 1:00:00,4.5,0,8,1,1.0,0,8,1,3.5,8,1,0.5,0,8,1
2023/6/2 2:00:00,9.0,0,8,1,1.5,0,8,1,2.5,8,1,1.5,0,8,1
2023/6/2 3:00:00,3.0,0,8,1,2.0,0,8,1,7.0,8,1,8.0,0,8,1
2023/6/2 4:00:00,5.0,0,8,1,3.0,0,8,1,5.0,8,1,6.5,0,8,1
2023/6/2 5:00:00,6.0,0,8,1,2.5,0,8,1,5.5,8,1,4.5,0,8,1
2023/6/2 6:00:00,10.5,0,8,1,4.5,0,8,1,13.5,8,1,2.5,0,8,1
2023/6/2 7:00:00,12.0,0,8,1,3.5,0,8,1,33.0,8,1,3.5,0,8,1
2023/6/2 8:00:00,34.5,0,8,1,5.5,0,8,1,18.5,8,1,6.0,0,8,1
2023/6/2 9:00:00,34.0,0,8,1,26.5,0,8,1,11.5,8,1,3.0,0,8,1
2023/6/2 10:00:00,7.0,0,8,1,28.0,0,8,1,8.5,8,1,3.0,0,8,1
2023/6/2 11:00:00,6.5,0,8,1,13.0,0,8,1,7.5,8,1,4.5,0,8,1
2023/6/2 12:00:00,6.0,0,8,1,24.0,0,8,1,5.0,8,1,3.0,0,8,1
2023/6/2 13:00:00,3.5,0,8,1,25.0,0,8,1,5.0,8,1,2.5,0,8,1
2023/6/2 14:00:00,1.0,0,8,1,11.5,0,8,1,4.0,8,1,1.5,0,8,1
2023/6/2 15:00:00,7.0,0,8,1,4.5,0,8,1,43.0,8,1,0.5,0,8,1
2023/6/2 16:00:00,8.0,0,8,1,4.5,0,8,1,37.5,8,1,1.0,0,8,1
2023/6/2 17:00:00,4.5,0,8,1,3.0,0,8,1,33.0,8,1,21.5,0,8,1
2023/6/2 18:00:00,1.5,0,8,1,4.0,0,8,1,38.0,8,1,7.0,0,8,1
2023/6/2 19:00:00,5.0,0,8,1,7.0,0,8,1,29.5,8,1,4.5,0,8,1
2023/6/2 20:00:00,3.5,0,8,1,7.5,0,8,1,41.5,8,1,5.0,0,8,1
2023/6/2 21:00:00,4.0,0,8,1,6.0,0,8,1,18.5,8,1,13.0,0,8,1
2023/6/2 22:00:00,1.0,0,8,1,6.5,0,8,1,20.0,8,1,14.5,0,8,1
2023/6/2 23:00:00,0.0,0,8,1,2.5,0,8,1,16.5,8,1,25.5,0,8,1
2023/6/3 00:00:00,0.0,0,8,1,2.0,0,8,1,10.5,8,1,31.5,0,8,1
2023/6/3 1:00:00,0,1,8,1,0.0,0,8,1,4.5,8,1,39.5,0,8,1
2023/6/3 2:00:00,0,1,8,1,0.0,0,8,1,1.0,8,1,34.0,0,8,1
2023/6/3 3:00:00,0,1,8,1,0.0,0,8,1,0.5,8,1,10.5,0,8,1
2023/6/3 4:00:00,0,1,8,1,0,1,8,1,0.0,8,1,5.0,0,8,1
2023/6/3 5:00:00,0,1,8,1,0,1,8,1,0.0,8,1,6.5,0,8,1
2023/6/3 6:00:00,0,1,8,1,0,1,8,1,0.0,8,1,6.5,0,8,1
2023/6/3 7:00:00,0,1,8,1,0,1,8,1,0.0,8,1,4.5,0,8,1
2023/6/3 8:00:00,0,1,8,1,0,1,8,1,0.0,8,1,2.0,0,8,1
2023/6/3 9:00:00,0,1,8,1,0,1,8,1,0.0,8,1,2.0,0,8,1
2023/6/3 10:00:00,0,1,8,1,0,1,8,1,0.0,8,1,1.5,0,8,1
2023/6/3 11:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0.0,0,8,1
2023/6/3 12:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 13:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 14:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 15:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 16:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 17:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 18:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 19:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 20:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 21:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 22:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/3 23:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
2023/6/4 00:00:00,0,1,8,1,0,1,8,1,0.0,8,1,0,1,8,1
