É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/07/02 22:48:43

,ëqï~,ëqï~,ëqï~
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,ïiéøèÓïÒ,ãœéøî‘çÜ
2018/6/27 1:00:00,0.0,8,1
2018/6/27 2:00:00,0.0,8,1
2018/6/27 3:00:00,0.0,8,1
2018/6/27 4:00:00,0.0,8,1
2018/6/27 5:00:00,0.0,8,1
2018/6/27 6:00:00,0.0,8,1
2018/6/27 7:00:00,0.0,8,1
2018/6/27 8:00:00,0.0,8,1
2018/6/27 9:00:00,0.0,8,1
2018/6/27 10:00:00,0.0,8,1
2018/6/27 11:00:00,0.0,8,1
2018/6/27 12:00:00,0.0,8,1
2018/6/27 13:00:00,0.0,8,1
2018/6/27 14:00:00,0.0,8,1
2018/6/27 15:00:00,0.0,8,1
2018/6/27 16:00:00,0.0,8,1
2018/6/27 17:00:00,0.0,8,1
2018/6/27 18:00:00,0.0,8,1
2018/6/27 19:00:00,0.0,8,1
2018/6/27 20:00:00,0.0,8,1
2018/6/27 21:00:00,0.0,8,1
2018/6/27 22:00:00,0.0,8,1
2018/6/27 23:00:00,0.0,8,1
2018/6/28 00:00:00,0.0,8,1
2018/6/28 1:00:00,0.0,8,1
2018/6/28 2:00:00,0.0,8,1
2018/6/28 3:00:00,0.0,8,1
2018/6/28 4:00:00,0.0,8,1
2018/6/28 5:00:00,0.0,8,1
2018/6/28 6:00:00,0.0,8,1
2018/6/28 7:00:00,0.0,8,1
2018/6/28 8:00:00,0.0,8,1
2018/6/28 9:00:00,0.0,8,1
2018/6/28 10:00:00,0.0,8,1
2018/6/28 11:00:00,0.0,8,1
2018/6/28 12:00:00,0.0,8,1
2018/6/28 13:00:00,0.0,8,1
2018/6/28 14:00:00,0.0,8,1
2018/6/28 15:00:00,0.0,8,1
2018/6/28 16:00:00,0.0,8,1
2018/6/28 17:00:00,0.0,8,1
2018/6/28 18:00:00,0.0,8,1
2018/6/28 19:00:00,0.0,8,1
2018/6/28 20:00:00,0.0,8,1
2018/6/28 21:00:00,0.0,8,1
2018/6/28 22:00:00,0.0,8,1
2018/6/28 23:00:00,0.0,8,1
2018/6/29 00:00:00,0.0,8,1
2018/6/29 1:00:00,0.0,8,1
2018/6/29 2:00:00,0.0,8,1
2018/6/29 3:00:00,0.0,8,1
2018/6/29 4:00:00,0.0,8,1
2018/6/29 5:00:00,0.0,8,1
2018/6/29 6:00:00,0.0,8,1
2018/6/29 7:00:00,0.0,8,1
2018/6/29 8:00:00,0.0,8,1
2018/6/29 9:00:00,0.0,8,1
2018/6/29 10:00:00,0.0,8,1
2018/6/29 11:00:00,2.0,8,1
2018/6/29 12:00:00,0.5,8,1
2018/6/29 13:00:00,2.5,8,1
2018/6/29 14:00:00,3.0,8,1
2018/6/29 15:00:00,2.5,8,1
2018/6/29 16:00:00,2.5,8,1
2018/6/29 17:00:00,0.5,8,1
2018/6/29 18:00:00,0.0,8,1
2018/6/29 19:00:00,0.0,8,1
2018/6/29 20:00:00,0.0,8,1
2018/6/29 21:00:00,0.0,8,1
2018/6/29 22:00:00,0.0,8,1
2018/6/29 23:00:00,0.0,8,1
2018/6/30 00:00:00,0.0,8,1
2018/6/30 1:00:00,0.0,8,1
2018/6/30 2:00:00,0.0,8,1
2018/6/30 3:00:00,0.0,8,1
2018/6/30 4:00:00,0.0,8,1
2018/6/30 5:00:00,0.0,8,1
2018/6/30 6:00:00,0.0,8,1
2018/6/30 7:00:00,0.0,8,1
2018/6/30 8:00:00,0.0,8,1
2018/6/30 9:00:00,0.0,8,1
2018/6/30 10:00:00,0.0,8,1
2018/6/30 11:00:00,0.0,8,1
2018/6/30 12:00:00,0.0,8,1
2018/6/30 13:00:00,0.0,8,1
2018/6/30 14:00:00,0.0,8,1
2018/6/30 15:00:00,0.5,8,1
2018/6/30 16:00:00,1.0,8,1
2018/6/30 17:00:00,0.0,8,1
2018/6/30 18:00:00,0.0,8,1
2018/6/30 19:00:00,0.0,8,1
2018/6/30 20:00:00,0.0,8,1
2018/6/30 21:00:00,0.0,8,1
2018/6/30 22:00:00,0.0,8,1
2018/6/30 23:00:00,0.0,8,1
2018/7/1 00:00:00,0.0,8,1
2018/7/1 1:00:00,0.0,8,1
2018/7/1 2:00:00,0.0,8,1
2018/7/1 3:00:00,0.0,8,1
2018/7/1 4:00:00,0.0,8,1
2018/7/1 5:00:00,0.0,8,1
2018/7/1 6:00:00,0.0,8,1
2018/7/1 7:00:00,0.0,8,1
2018/7/1 8:00:00,0.0,8,1
2018/7/1 9:00:00,0.0,8,1
2018/7/1 10:00:00,0.0,8,1
2018/7/1 11:00:00,0.0,8,1
2018/7/1 12:00:00,0.0,8,1
2018/7/1 13:00:00,0.0,8,1
2018/7/1 14:00:00,0.0,8,1
2018/7/1 15:00:00,0.0,8,1
2018/7/1 16:00:00,0.0,8,1
2018/7/1 17:00:00,0.0,8,1
2018/7/1 18:00:00,0.0,8,1
2018/7/1 19:00:00,0.0,8,1
2018/7/1 20:00:00,0.0,8,1
2018/7/1 21:00:00,0.0,8,1
2018/7/1 22:00:00,0.0,8,1
2018/7/1 23:00:00,0.0,8,1
2018/7/2 00:00:00,0.0,8,1
2018/7/2 1:00:00,0.0,8,1
2018/7/2 2:00:00,0.0,8,1
2018/7/2 3:00:00,0.0,8,1
2018/7/2 4:00:00,0.0,8,1
2018/7/2 5:00:00,0.0,8,1
2018/7/2 6:00:00,0.0,8,1
2018/7/2 7:00:00,0.0,8,1
2018/7/2 8:00:00,0.0,8,1
2018/7/2 9:00:00,0.0,8,1
2018/7/2 10:00:00,0.0,8,1
2018/7/2 11:00:00,0.0,8,1
2018/7/2 12:00:00,0.0,8,1
2018/7/2 13:00:00,0.0,8,1
2018/7/2 14:00:00,0.0,8,1
2018/7/2 15:00:00,0.0,8,1
2018/7/2 16:00:00,0.0,8,1
2018/7/2 17:00:00,0.0,8,1
2018/7/2 18:00:00,0.0,8,1
2018/7/2 19:00:00,0.0,8,1
2018/7/2 20:00:00,0.0,8,1
2018/7/2 21:00:00,0.0,8,1
2018/7/2 22:00:00,0.0,8,1
2018/7/2 23:00:00,0.0,8,1
2018/7/3 00:00:00,0.0,8,1
2018/7/3 1:00:00,0.0,8,1
2018/7/3 2:00:00,0.0,8,1
2018/7/3 3:00:00,0.0,8,1
2018/7/3 4:00:00,0.0,8,1
2018/7/3 5:00:00,0.0,8,1
2018/7/3 6:00:00,0.0,8,1
2018/7/3 7:00:00,0.0,8,1
2018/7/3 8:00:00,0.0,8,1
2018/7/3 9:00:00,0.5,8,1
2018/7/3 10:00:00,0.5,8,1
2018/7/3 11:00:00,0.0,8,1
2018/7/3 12:00:00,0.5,8,1
2018/7/3 13:00:00,0.0,8,1
2018/7/3 14:00:00,0.0,8,1
2018/7/3 15:00:00,0.0,8,1
2018/7/3 16:00:00,0.0,8,1
2018/7/3 17:00:00,0.0,8,1
2018/7/3 18:00:00,0.0,8,1
2018/7/3 19:00:00,0.0,8,1
2018/7/3 20:00:00,0.0,8,1
2018/7/3 21:00:00,0.0,8,1
2018/7/3 22:00:00,0.0,8,1
2018/7/3 23:00:00,0.0,8,1
2018/7/4 00:00:00,0.0,8,1
2018/7/4 1:00:00,1.5,8,1
2018/7/4 2:00:00,0.5,8,1
