ダウンロードした時刻：2023/09/09 02:10:41

,茂原,茂原,茂原
年月日時,降水量(mm),降水量(mm),降水量(mm)
,,品質情報,均質番号
2023/9/5 1:00:00,0.0,8,1
2023/9/5 2:00:00,0.0,8,1
2023/9/5 3:00:00,0.0,8,1
2023/9/5 4:00:00,0.0,8,1
2023/9/5 5:00:00,0.0,8,1
2023/9/5 6:00:00,0.0,8,1
2023/9/5 7:00:00,0.0,8,1
2023/9/5 8:00:00,0.0,8,1
2023/9/5 9:00:00,0.0,8,1
2023/9/5 10:00:00,0.0,8,1
2023/9/5 11:00:00,0.0,8,1
2023/9/5 12:00:00,0.0,8,1
2023/9/5 13:00:00,0.0,8,1
2023/9/5 14:00:00,0.0,8,1
2023/9/5 15:00:00,0.0,8,1
2023/9/5 16:00:00,0.0,8,1
2023/9/5 17:00:00,0.0,8,1
2023/9/5 18:00:00,0.0,8,1
2023/9/5 19:00:00,0.0,8,1
2023/9/5 20:00:00,0.0,8,1
2023/9/5 21:00:00,0.0,8,1
2023/9/5 22:00:00,0.0,8,1
2023/9/5 23:00:00,0.0,8,1
2023/9/6 00:00:00,0.0,8,1
2023/9/6 1:00:00,0.0,8,1
2023/9/6 2:00:00,0.0,8,1
2023/9/6 3:00:00,0.0,8,1
2023/9/6 4:00:00,0.0,8,1
2023/9/6 5:00:00,0.0,8,1
2023/9/6 6:00:00,0.0,8,1
2023/9/6 7:00:00,0.0,8,1
2023/9/6 8:00:00,0.0,8,1
2023/9/6 9:00:00,0.0,8,1
2023/9/6 10:00:00,0.0,8,1
2023/9/6 11:00:00,0.0,8,1
2023/9/6 12:00:00,0.0,8,1
2023/9/6 13:00:00,0.0,8,1
2023/9/6 14:00:00,0.0,8,1
2023/9/6 15:00:00,0.0,8,1
2023/9/6 16:00:00,0.0,8,1
2023/9/6 17:00:00,0.0,8,1
2023/9/6 18:00:00,0.0,8,1
2023/9/6 19:00:00,0.0,8,1
2023/9/6 20:00:00,0.0,8,1
2023/9/6 21:00:00,0.5,8,1
2023/9/6 22:00:00,0.0,8,1
2023/9/6 23:00:00,0.0,8,1
2023/9/7 00:00:00,0.0,8,1
2023/9/7 1:00:00,0.0,8,1
2023/9/7 2:00:00,0.0,8,1
2023/9/7 3:00:00,0.0,8,1
2023/9/7 4:00:00,0.0,8,1
2023/9/7 5:00:00,0.0,8,1
2023/9/7 6:00:00,0.0,8,1
2023/9/7 7:00:00,0.0,8,1
2023/9/7 8:00:00,0.0,8,1
2023/9/7 9:00:00,0.0,8,1
2023/9/7 10:00:00,0.0,8,1
2023/9/7 11:00:00,0.0,8,1
2023/9/7 12:00:00,0.0,8,1
2023/9/7 13:00:00,0.0,8,1
2023/9/7 14:00:00,0.0,8,1
2023/9/7 15:00:00,0.0,8,1
2023/9/7 16:00:00,0.0,8,1
2023/9/7 17:00:00,0.0,8,1
2023/9/7 18:00:00,0.0,8,1
2023/9/7 19:00:00,0.5,8,1
2023/9/7 20:00:00,0.5,8,1
2023/9/7 21:00:00,0.0,8,1
2023/9/7 22:00:00,0.5,8,1
2023/9/7 23:00:00,0.5,8,1
2023/9/8 00:00:00,0.5,8,1
2023/9/8 1:00:00,0.5,8,1
2023/9/8 2:00:00,1.0,8,1
2023/9/8 3:00:00,4.0,8,1
2023/9/8 4:00:00,20.5,8,1
2023/9/8 5:00:00,36.0,8,1
2023/9/8 6:00:00,16.5,8,1
2023/9/8 7:00:00,48.5,8,1
2023/9/8 8:00:00,67.0,8,1
2023/9/8 9:00:00,23.5,8,1
2023/9/8 10:00:00,21.0,8,1
2023/9/8 11:00:00,43.0,8,1
2023/9/8 12:00:00,72.5,8,1
2023/9/8 13:00:00,17.5,8,1
2023/9/8 14:00:00,0.0,8,1
2023/9/8 15:00:00,0.0,8,1
2023/9/8 16:00:00,0.5,8,1
2023/9/8 17:00:00,0.0,8,1
2023/9/8 18:00:00,0.0,8,1
2023/9/8 19:00:00,2.0,8,1
2023/9/8 20:00:00,4.5,8,1
2023/9/8 21:00:00,4.0,8,1
2023/9/8 22:00:00,2.0,8,1
2023/9/8 23:00:00,4.5,8,1
2023/9/9 00:00:00,2.0,8,1
