É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2023/05/11 19:43:45

,êºã{,êºã{,êºã{
îNåéì˙,ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm),ç~êÖó ÇÃçáåv(mm)
,,ïiéøèÓïÒ,ãœéøî‘çÜ
2018/4/1,0.0,8,1
2018/4/2,0.0,8,1
2018/4/3,0.0,8,1
2018/4/4,0.5,8,1
2018/4/5,0.0,8,1
2018/4/6,17.0,8,1
2018/4/7,1.5,8,1
2018/4/8,0.0,8,1
2018/4/9,0.0,8,1
2018/4/10,0.0,8,1
2018/4/11,1.0,8,1
2018/4/12,0.5,8,1
2018/4/13,0.0,8,1
2018/4/14,26.5,8,1
2018/4/15,17.0,8,1
2018/4/16,0.0,8,1
2018/4/17,3.5,8,1
2018/4/18,5.0,8,1
2018/4/19,0.0,8,1
2018/4/20,0.0,8,1
2018/4/21,0.0,8,1
2018/4/22,0.0,8,1
2018/4/23,0.0,8,1
2018/4/24,39.0,8,1
2018/4/25,47.5,8,1
2018/4/26,0.0,8,1
2018/4/27,0.0,8,1
2018/4/28,0.0,8,1
2018/4/29,0.0,8,1
2018/4/30,0.0,8,1
2018/5/1,0.0,8,1
2018/5/2,20.0,8,1
2018/5/3,0.0,8,1
2018/5/4,0.0,8,1
2018/5/5,0.0,8,1
2018/5/6,16.5,8,1
2018/5/7,58.0,8,1
2018/5/8,6.5,8,1
2018/5/9,4.0,8,1
2018/5/10,0.0,8,1
2018/5/11,0.0,8,1
2018/5/12,0.0,8,1
2018/5/13,70.5,8,1
2018/5/14,0.0,8,1
2018/5/15,0.0,8,1
2018/5/16,0.0,8,1
2018/5/17,0.0,8,1
2018/5/18,11.5,8,1
2018/5/19,1.0,8,1
2018/5/20,0.0,8,1
2018/5/21,0.0,8,1
2018/5/22,0.0,8,1
2018/5/23,12.0,8,1
2018/5/24,0.0,8,1
2018/5/25,0.0,8,1
2018/5/26,0.0,8,1
2018/5/27,0.0,8,1
2018/5/28,0.0,8,1
2018/5/29,0.0,8,1
2018/5/30,12.5,8,1
2018/5/31,8.5,8,1
2018/6/1,0.0,8,1
2018/6/2,0.0,8,1
2018/6/3,0.0,8,1
2018/6/4,0.0,8,1
2018/6/5,7.5,8,1
2018/6/6,50.0,8,1
2018/6/7,4.0,8,1
2018/6/8,19.5,8,1
2018/6/9,0.0,8,1
2018/6/10,4.0,8,1
2018/6/11,4.5,8,1
2018/6/12,1.0,8,1
2018/6/13,0.0,8,1
2018/6/14,0.0,8,1
2018/6/15,3.0,8,1
2018/6/16,0.0,8,1
2018/6/17,0.0,8,1
2018/6/18,0.0,8,1
2018/6/19,3.0,8,1
2018/6/20,51.0,8,1
2018/6/21,0.0,8,1
2018/6/22,0.0,8,1
2018/6/23,15.0,8,1
2018/6/24,1.0,8,1
2018/6/25,0.0,8,1
2018/6/26,0.0,8,1
2018/6/27,0.5,8,1
2018/6/28,0.0,8,1
2018/6/29,24.5,8,1
2018/6/30,15.0,8,1
2018/7/1,0.0,8,1
2018/7/2,0.0,8,1
2018/7/3,0.0,8,1
2018/7/4,3.0,8,1
2018/7/5,230.5,8,1
2018/7/6,163.5,8,1
2018/7/7,53.5,8,1
2018/7/8,3.5,8,1
2018/7/9,0.0,8,1
2018/7/10,0.0,8,1
