É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2025/06/11 18:06:25

,ç≤âÍ,ç≤âÍ,ç≤âÍ,ç≤âÍ
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2025/6/1 1:00:00,0,1,8,1
2025/6/1 2:00:00,0,1,8,1
2025/6/1 3:00:00,0,1,8,1
2025/6/1 4:00:00,0,1,8,1
2025/6/1 5:00:00,0,1,8,1
2025/6/1 6:00:00,0,1,8,1
2025/6/1 7:00:00,0,1,8,1
2025/6/1 8:00:00,0,1,8,1
2025/6/1 9:00:00,0,1,8,1
2025/6/1 10:00:00,0,1,8,1
2025/6/1 11:00:00,0,1,8,1
2025/6/1 12:00:00,0,1,8,1
2025/6/1 13:00:00,0,1,8,1
2025/6/1 14:00:00,0,1,8,1
2025/6/1 15:00:00,0,1,8,1
2025/6/1 16:00:00,0,1,8,1
2025/6/1 17:00:00,0,1,8,1
2025/6/1 18:00:00,0,1,8,1
2025/6/1 19:00:00,0,1,8,1
2025/6/1 20:00:00,0,1,8,1
2025/6/1 21:00:00,0,1,8,1
2025/6/1 22:00:00,0,1,8,1
2025/6/1 23:00:00,0,1,8,1
2025/6/2 00:00:00,0,1,8,1
2025/6/2 1:00:00,0,1,8,1
2025/6/2 2:00:00,0,1,8,1
2025/6/2 3:00:00,0,1,8,1
2025/6/2 4:00:00,0.0,0,8,1
2025/6/2 5:00:00,0.0,0,8,1
2025/6/2 6:00:00,0.0,0,8,1
2025/6/2 7:00:00,0.0,0,8,1
2025/6/2 8:00:00,0.0,0,8,1
2025/6/2 9:00:00,0.0,0,8,1
2025/6/2 10:00:00,0.0,0,8,1
2025/6/2 11:00:00,0.0,0,8,1
2025/6/2 12:00:00,0.0,0,8,1
2025/6/2 13:00:00,0.0,0,8,1
2025/6/2 14:00:00,0.0,0,8,1
2025/6/2 15:00:00,0.5,0,8,1
2025/6/2 16:00:00,0.0,0,8,1
2025/6/2 17:00:00,0.0,0,8,1
2025/6/2 18:00:00,0.0,0,8,1
2025/6/2 19:00:00,0.0,0,8,1
2025/6/2 20:00:00,1.0,0,8,1
2025/6/2 21:00:00,1.5,0,8,1
2025/6/2 22:00:00,1.5,0,8,1
2025/6/2 23:00:00,1.5,0,8,1
2025/6/3 00:00:00,1.5,0,8,1
2025/6/3 1:00:00,0.5,0,8,1
2025/6/3 2:00:00,0.5,0,8,1
2025/6/3 3:00:00,2.5,0,8,1
2025/6/3 4:00:00,4.5,0,8,1
2025/6/3 5:00:00,2.0,0,8,1
2025/6/3 6:00:00,1.0,0,8,1
2025/6/3 7:00:00,0.5,0,8,1
2025/6/3 8:00:00,0.5,0,8,1
2025/6/3 9:00:00,0.0,0,8,1
2025/6/3 10:00:00,0.5,0,8,1
2025/6/3 11:00:00,0.0,0,8,1
2025/6/3 12:00:00,0,1,8,1
2025/6/3 13:00:00,0.0,0,8,1
2025/6/3 14:00:00,0,1,8,1
2025/6/3 15:00:00,0,1,8,1
2025/6/3 16:00:00,0,1,8,1
2025/6/3 17:00:00,0,1,8,1
2025/6/3 18:00:00,0,1,8,1
2025/6/3 19:00:00,0,1,8,1
2025/6/3 20:00:00,0,1,8,1
2025/6/3 21:00:00,0,1,8,1
2025/6/3 22:00:00,0,1,8,1
2025/6/3 23:00:00,0,1,8,1
2025/6/4 00:00:00,0,1,8,1
2025/6/4 1:00:00,0,1,8,1
2025/6/4 2:00:00,0,1,8,1
2025/6/4 3:00:00,0,1,8,1
2025/6/4 4:00:00,0,1,8,1
2025/6/4 5:00:00,0,1,8,1
2025/6/4 6:00:00,0,1,8,1
2025/6/4 7:00:00,0,1,8,1
2025/6/4 8:00:00,0,1,8,1
2025/6/4 9:00:00,0,1,8,1
2025/6/4 10:00:00,0,1,8,1
2025/6/4 11:00:00,0,1,8,1
2025/6/4 12:00:00,0,1,8,1
2025/6/4 13:00:00,0,1,8,1
2025/6/4 14:00:00,0,1,8,1
2025/6/4 15:00:00,0,1,8,1
2025/6/4 16:00:00,0,1,8,1
2025/6/4 17:00:00,0,1,8,1
2025/6/4 18:00:00,0,1,8,1
2025/6/4 19:00:00,0,1,8,1
2025/6/4 20:00:00,0,1,8,1
2025/6/4 21:00:00,0,1,8,1
2025/6/4 22:00:00,0,1,8,1
2025/6/4 23:00:00,0,1,8,1
2025/6/5 00:00:00,0,1,8,1
2025/6/5 1:00:00,0,1,8,1
2025/6/5 2:00:00,0,1,8,1
2025/6/5 3:00:00,0,1,8,1
2025/6/5 4:00:00,0,1,8,1
2025/6/5 5:00:00,0,1,8,1
2025/6/5 6:00:00,0,1,8,1
2025/6/5 7:00:00,0,1,8,1
2025/6/5 8:00:00,0,1,8,1
2025/6/5 9:00:00,0,1,8,1
2025/6/5 10:00:00,0,1,8,1
2025/6/5 11:00:00,0,1,8,1
2025/6/5 12:00:00,0,1,8,1
2025/6/5 13:00:00,0,1,8,1
2025/6/5 14:00:00,0,1,8,1
2025/6/5 15:00:00,0,1,8,1
2025/6/5 16:00:00,0,1,8,1
2025/6/5 17:00:00,0,1,8,1
2025/6/5 18:00:00,0,1,8,1
2025/6/5 19:00:00,0,1,8,1
2025/6/5 20:00:00,0,1,8,1
2025/6/5 21:00:00,0,1,8,1
2025/6/5 22:00:00,0,1,8,1
2025/6/5 23:00:00,0,1,8,1
2025/6/6 00:00:00,0,1,8,1
2025/6/6 1:00:00,0,1,8,1
2025/6/6 2:00:00,0,1,8,1
2025/6/6 3:00:00,0,1,8,1
2025/6/6 4:00:00,0,1,8,1
2025/6/6 5:00:00,0,1,8,1
2025/6/6 6:00:00,0,1,8,1
2025/6/6 7:00:00,0,1,8,1
2025/6/6 8:00:00,0,1,8,1
2025/6/6 9:00:00,0,1,8,1
2025/6/6 10:00:00,0,1,8,1
2025/6/6 11:00:00,0,1,8,1
2025/6/6 12:00:00,0,1,8,1
2025/6/6 13:00:00,0,1,8,1
2025/6/6 14:00:00,0,1,8,1
2025/6/6 15:00:00,0,1,8,1
2025/6/6 16:00:00,0,1,8,1
2025/6/6 17:00:00,0,1,8,1
2025/6/6 18:00:00,0,1,8,1
2025/6/6 19:00:00,0,1,8,1
2025/6/6 20:00:00,0,1,8,1
2025/6/6 21:00:00,0,1,8,1
2025/6/6 22:00:00,0,1,8,1
2025/6/6 23:00:00,0,1,8,1
2025/6/7 00:00:00,0.0,0,8,1
2025/6/7 1:00:00,0,1,8,1
2025/6/7 2:00:00,0,1,8,1
2025/6/7 3:00:00,0,1,8,1
2025/6/7 4:00:00,0,1,8,1
2025/6/7 5:00:00,0,1,8,1
2025/6/7 6:00:00,0,1,8,1
2025/6/7 7:00:00,0,1,8,1
2025/6/7 8:00:00,0,1,8,1
2025/6/7 9:00:00,0,1,8,1
2025/6/7 10:00:00,0.0,0,8,1
2025/6/7 11:00:00,0,1,8,1
2025/6/7 12:00:00,0.0,0,8,1
2025/6/7 13:00:00,0.0,0,8,1
2025/6/7 14:00:00,0.0,0,8,1
2025/6/7 15:00:00,0.0,0,8,1
2025/6/7 16:00:00,0.0,0,8,1
2025/6/7 17:00:00,0.0,0,8,1
2025/6/7 18:00:00,0,1,8,1
2025/6/7 19:00:00,0.0,0,8,1
2025/6/7 20:00:00,0.0,0,8,1
2025/6/7 21:00:00,0.0,0,8,1
2025/6/7 22:00:00,0.0,0,8,1
2025/6/7 23:00:00,0.0,0,8,1
2025/6/8 00:00:00,0.0,0,8,1
2025/6/8 1:00:00,0,1,8,1
2025/6/8 2:00:00,0.0,0,8,1
2025/6/8 3:00:00,0.0,0,8,1
2025/6/8 4:00:00,0.0,0,8,1
2025/6/8 5:00:00,0.0,0,8,1
2025/6/8 6:00:00,0,1,8,1
2025/6/8 7:00:00,0,1,8,1
2025/6/8 8:00:00,0.0,0,8,1
2025/6/8 9:00:00,0.0,0,8,1
2025/6/8 10:00:00,0.0,0,8,1
2025/6/8 11:00:00,0,1,8,1
2025/6/8 12:00:00,0.0,0,8,1
2025/6/8 13:00:00,0.0,0,8,1
2025/6/8 14:00:00,0,1,8,1
2025/6/8 15:00:00,0.0,0,8,1
2025/6/8 16:00:00,0.0,0,8,1
2025/6/8 17:00:00,0.5,0,8,1
2025/6/8 18:00:00,0.0,0,8,1
2025/6/8 19:00:00,0.0,0,8,1
2025/6/8 20:00:00,0.0,0,8,1
2025/6/8 21:00:00,0.0,0,8,1
2025/6/8 22:00:00,0,1,8,1
2025/6/8 23:00:00,0,1,8,1
2025/6/9 00:00:00,0.0,0,8,1
2025/6/9 1:00:00,0.5,0,8,1
2025/6/9 2:00:00,1.0,0,8,1
2025/6/9 3:00:00,0.5,0,8,1
2025/6/9 4:00:00,0.0,0,8,1
2025/6/9 5:00:00,0.0,0,8,1
2025/6/9 6:00:00,0.0,0,8,1
2025/6/9 7:00:00,0.0,0,8,1
2025/6/9 8:00:00,0.5,0,8,1
2025/6/9 9:00:00,1.0,0,8,1
2025/6/9 10:00:00,1.5,0,8,1
2025/6/9 11:00:00,0.5,0,8,1
2025/6/9 12:00:00,1.0,0,8,1
2025/6/9 13:00:00,2.0,0,8,1
2025/6/9 14:00:00,1.0,0,8,1
2025/6/9 15:00:00,3.5,0,8,1
