ダウンロードした時刻：2023/05/24 11:50:53

,さいたま,さいたま,さいたま
年月日時,降水量(mm),降水量(mm),降水量(mm)
,,品質情報,均質番号
2023/5/20 1:00:00,0.0,8,1
2023/5/20 2:00:00,0.0,8,1
2023/5/20 3:00:00,0.0,8,1
2023/5/20 4:00:00,0.0,8,1
2023/5/20 5:00:00,0.0,8,1
2023/5/20 6:00:00,0.0,8,1
2023/5/20 7:00:00,0.0,8,1
2023/5/20 8:00:00,0.0,8,1
2023/5/20 9:00:00,0.5,8,1
2023/5/20 10:00:00,0.0,8,1
2023/5/20 11:00:00,0.0,8,1
2023/5/20 12:00:00,0.0,8,1
2023/5/20 13:00:00,0.0,8,1
2023/5/20 14:00:00,0.0,8,1
2023/5/20 15:00:00,0.0,8,1
2023/5/20 16:00:00,0.0,8,1
2023/5/20 17:00:00,0.0,8,1
2023/5/20 18:00:00,0.0,8,1
2023/5/20 19:00:00,0.0,8,1
2023/5/20 20:00:00,0.0,8,1
2023/5/20 21:00:00,0.0,8,1
2023/5/20 22:00:00,0.0,8,1
2023/5/20 23:00:00,0.0,8,1
2023/5/21 00:00:00,0.0,8,1
2023/5/21 1:00:00,0.0,8,1
2023/5/21 2:00:00,0.0,8,1
2023/5/21 3:00:00,0.0,8,1
2023/5/21 4:00:00,0.0,8,1
2023/5/21 5:00:00,0.0,8,1
2023/5/21 6:00:00,0.0,8,1
2023/5/21 7:00:00,0.0,8,1
2023/5/21 8:00:00,0.0,8,1
2023/5/21 9:00:00,0.0,8,1
2023/5/21 10:00:00,0.0,8,1
2023/5/21 11:00:00,0.0,8,1
2023/5/21 12:00:00,0.0,8,1
2023/5/21 13:00:00,0.0,8,1
2023/5/21 14:00:00,0.0,8,1
2023/5/21 15:00:00,0.0,8,1
2023/5/21 16:00:00,0.0,8,1
2023/5/21 17:00:00,0.0,8,1
2023/5/21 18:00:00,0.0,8,1
2023/5/21 19:00:00,0.0,8,1
2023/5/21 20:00:00,0.0,8,1
2023/5/21 21:00:00,0.0,8,1
2023/5/21 22:00:00,0.0,8,1
2023/5/21 23:00:00,0.0,8,1
2023/5/22 00:00:00,0.0,8,1
2023/5/22 1:00:00,0.0,8,1
2023/5/22 2:00:00,0.0,8,1
2023/5/22 3:00:00,0.0,8,1
2023/5/22 4:00:00,0.0,8,1
2023/5/22 5:00:00,0.0,8,1
2023/5/22 6:00:00,0.0,8,1
2023/5/22 7:00:00,0.0,8,1
2023/5/22 8:00:00,0.0,8,1
2023/5/22 9:00:00,0.0,8,1
2023/5/22 10:00:00,0.0,8,1
2023/5/22 11:00:00,0.0,8,1
2023/5/22 12:00:00,0.0,8,1
2023/5/22 13:00:00,0.0,8,1
2023/5/22 14:00:00,0.0,8,1
2023/5/22 15:00:00,0.0,8,1
2023/5/22 16:00:00,0.0,8,1
2023/5/22 17:00:00,6.0,8,1
2023/5/22 18:00:00,0.0,8,1
2023/5/22 19:00:00,0.0,8,1
2023/5/22 20:00:00,1.0,8,1
2023/5/22 21:00:00,1.5,8,1
2023/5/22 22:00:00,0.0,8,1
2023/5/22 23:00:00,0.0,8,1
2023/5/23 00:00:00,0.0,8,1
2023/5/23 1:00:00,0.0,8,1
2023/5/23 2:00:00,0.5,8,1
2023/5/23 3:00:00,1.0,8,1
2023/5/23 4:00:00,1.5,8,1
2023/5/23 5:00:00,2.0,8,1
2023/5/23 6:00:00,1.5,8,1
2023/5/23 7:00:00,0.0,8,1
2023/5/23 8:00:00,2.5,8,1
2023/5/23 9:00:00,1.0,8,1
2023/5/23 10:00:00,0.5,8,1
2023/5/23 11:00:00,0.0,8,1
2023/5/23 12:00:00,0.0,8,1
2023/5/23 13:00:00,0.5,8,1
2023/5/23 14:00:00,0.5,8,1
2023/5/23 15:00:00,1.0,8,1
2023/5/23 16:00:00,0.0,8,1
2023/5/23 17:00:00,0.5,8,1
2023/5/23 18:00:00,0.5,8,1
2023/5/23 19:00:00,2.5,8,1
2023/5/23 20:00:00,2.5,8,1
2023/5/23 21:00:00,0.0,8,1
2023/5/23 22:00:00,0.0,8,1
2023/5/23 23:00:00,0.0,8,1
2023/5/24 00:00:00,0.0,8,1
