ダウンロードした時刻：2024/07/27 12:23:55

,新庄,新庄,新庄,新庄
年月日時,降水量(mm),降水量(mm),降水量(mm),降水量(mm)
,,現象なし情報,品質情報,均質番号
2024/7/19 1:00:00,0,1,8,1
2024/7/19 2:00:00,0,1,8,1
2024/7/19 3:00:00,0,1,8,1
2024/7/19 4:00:00,0,1,8,1
2024/7/19 5:00:00,0,1,8,1
2024/7/19 6:00:00,0,1,8,1
2024/7/19 7:00:00,0,1,8,1
2024/7/19 8:00:00,0.0,0,8,1
2024/7/19 9:00:00,0.0,0,8,1
2024/7/19 10:00:00,0.0,0,8,1
2024/7/19 11:00:00,0.0,0,8,1
2024/7/19 12:00:00,0.0,0,8,1
2024/7/19 13:00:00,0,1,8,1
2024/7/19 14:00:00,0.0,0,8,1
2024/7/19 15:00:00,0.0,0,8,1
2024/7/19 16:00:00,0.0,0,8,1
2024/7/19 17:00:00,0.0,0,8,1
2024/7/19 18:00:00,0.0,0,8,1
2024/7/19 19:00:00,0,1,8,1
2024/7/19 20:00:00,0,1,8,1
2024/7/19 21:00:00,0.0,0,8,1
2024/7/19 22:00:00,0.0,0,8,1
2024/7/19 23:00:00,0.0,0,8,1
2024/7/20 00:00:00,0.0,0,8,1
2024/7/20 1:00:00,1.0,0,8,1
2024/7/20 2:00:00,26.0,0,8,1
2024/7/20 3:00:00,0,1,8,1
2024/7/20 4:00:00,0.5,0,8,1
2024/7/20 5:00:00,1.5,0,8,1
2024/7/20 6:00:00,1.5,0,8,1
2024/7/20 7:00:00,0.0,0,8,1
2024/7/20 8:00:00,0,1,8,1
2024/7/20 9:00:00,0,1,8,1
2024/7/20 10:00:00,0.0,0,8,1
2024/7/20 11:00:00,0.0,0,8,1
2024/7/20 12:00:00,0.0,0,8,1
2024/7/20 13:00:00,2.5,0,8,1
2024/7/20 14:00:00,1.0,0,8,1
2024/7/20 15:00:00,1.0,0,8,1
2024/7/20 16:00:00,0.0,0,8,1
2024/7/20 17:00:00,0.0,0,8,1
2024/7/20 18:00:00,0.0,0,8,1
2024/7/20 19:00:00,0,1,8,1
2024/7/20 20:00:00,0,1,8,1
2024/7/20 21:00:00,0,1,8,1
2024/7/20 22:00:00,0,1,8,1
2024/7/20 23:00:00,0,1,8,1
2024/7/21 00:00:00,0,1,8,1
2024/7/21 1:00:00,0,1,8,1
2024/7/21 2:00:00,0,1,8,1
2024/7/21 3:00:00,0,1,8,1
2024/7/21 4:00:00,0,1,8,1
2024/7/21 5:00:00,0,1,8,1
2024/7/21 6:00:00,0,1,8,1
2024/7/21 7:00:00,0,1,8,1
2024/7/21 8:00:00,0,1,8,1
2024/7/21 9:00:00,0,1,8,1
2024/7/21 10:00:00,0,1,8,1
2024/7/21 11:00:00,0,1,8,1
2024/7/21 12:00:00,0,1,8,1
2024/7/21 13:00:00,0.0,0,8,1
2024/7/21 14:00:00,0,1,8,1
2024/7/21 15:00:00,0,1,8,1
2024/7/21 16:00:00,0,1,8,1
2024/7/21 17:00:00,0,1,8,1
2024/7/21 18:00:00,0,1,8,1
2024/7/21 19:00:00,0,1,8,1
2024/7/21 20:00:00,0,1,8,1
2024/7/21 21:00:00,0,1,8,1
2024/7/21 22:00:00,0,1,8,1
2024/7/21 23:00:00,0,1,8,1
2024/7/22 00:00:00,0.0,0,8,1
2024/7/22 1:00:00,0.0,0,8,1
2024/7/22 2:00:00,0.0,0,8,1
2024/7/22 3:00:00,0,1,8,1
2024/7/22 4:00:00,0,1,8,1
2024/7/22 5:00:00,0,1,8,1
2024/7/22 6:00:00,0,1,8,1
2024/7/22 7:00:00,0,1,8,1
2024/7/22 8:00:00,0,1,8,1
2024/7/22 9:00:00,0,1,8,1
2024/7/22 10:00:00,0,1,8,1
2024/7/22 11:00:00,0,1,8,1
2024/7/22 12:00:00,0,1,8,1
2024/7/22 13:00:00,0,1,8,1
2024/7/22 14:00:00,0,1,8,1
2024/7/22 15:00:00,0,1,8,1
2024/7/22 16:00:00,0,1,8,1
2024/7/22 17:00:00,0,1,8,1
2024/7/22 18:00:00,0,1,8,1
2024/7/22 19:00:00,0,1,8,1
2024/7/22 20:00:00,0,1,8,1
2024/7/22 21:00:00,0,1,8,1
2024/7/22 22:00:00,0,1,8,1
2024/7/22 23:00:00,0,1,8,1
2024/7/23 00:00:00,0,1,8,1
2024/7/23 1:00:00,0,1,8,1
2024/7/23 2:00:00,0,1,8,1
2024/7/23 3:00:00,0,1,8,1
2024/7/23 4:00:00,0,1,8,1
2024/7/23 5:00:00,0,1,8,1
2024/7/23 6:00:00,0,1,8,1
2024/7/23 7:00:00,0,1,8,1
2024/7/23 8:00:00,0,1,8,1
2024/7/23 9:00:00,0,1,8,1
2024/7/23 10:00:00,0,1,8,1
2024/7/23 11:00:00,0,1,8,1
2024/7/23 12:00:00,0.0,0,8,1
2024/7/23 13:00:00,0,1,8,1
2024/7/23 14:00:00,0,1,8,1
2024/7/23 15:00:00,0,1,8,1
2024/7/23 16:00:00,0,1,8,1
2024/7/23 17:00:00,0,1,8,1
2024/7/23 18:00:00,0,1,8,1
2024/7/23 19:00:00,0,1,8,1
2024/7/23 20:00:00,0,1,8,1
2024/7/23 21:00:00,0,1,8,1
2024/7/23 22:00:00,0,1,8,1
2024/7/23 23:00:00,0,1,8,1
2024/7/24 00:00:00,0,1,8,1
2024/7/24 1:00:00,0,1,8,1
2024/7/24 2:00:00,0,1,8,1
2024/7/24 3:00:00,0,1,8,1
2024/7/24 4:00:00,0.0,0,8,1
2024/7/24 5:00:00,0,1,8,1
2024/7/24 6:00:00,0,1,8,1
2024/7/24 7:00:00,0.5,0,8,1
2024/7/24 8:00:00,4.5,0,8,1
2024/7/24 9:00:00,0.5,0,8,1
2024/7/24 10:00:00,0.0,0,8,1
2024/7/24 11:00:00,0.5,0,8,1
2024/7/24 12:00:00,1.0,0,8,1
2024/7/24 13:00:00,0.0,0,8,1
2024/7/24 14:00:00,0.0,0,8,1
2024/7/24 15:00:00,1.0,0,8,1
2024/7/24 16:00:00,0.0,0,8,1
2024/7/24 17:00:00,0.0,0,8,1
2024/7/24 18:00:00,0,1,8,1
2024/7/24 19:00:00,0.0,0,8,1
2024/7/24 20:00:00,0.0,0,8,1
2024/7/24 21:00:00,0.0,0,8,1
2024/7/24 22:00:00,0.0,0,8,1
2024/7/24 23:00:00,0.0,0,8,1
2024/7/25 00:00:00,0.0,0,8,1
2024/7/25 1:00:00,0.0,0,8,1
2024/7/25 2:00:00,3.0,0,8,1
2024/7/25 3:00:00,0.5,0,8,1
2024/7/25 4:00:00,0.0,0,8,1
2024/7/25 5:00:00,1.5,0,8,1
2024/7/25 6:00:00,0.0,0,8,1
2024/7/25 7:00:00,1.0,0,8,1
2024/7/25 8:00:00,2.5,0,8,1
2024/7/25 9:00:00,1.5,0,8,1
2024/7/25 10:00:00,22.0,0,8,1
2024/7/25 11:00:00,17.5,0,8,1
2024/7/25 12:00:00,31.0,0,8,1
2024/7/25 13:00:00,38.0,0,8,1
2024/7/25 14:00:00,13.0,0,8,1
2024/7/25 15:00:00,26.0,0,8,1
2024/7/25 16:00:00,12.5,0,8,1
2024/7/25 17:00:00,6.0,0,8,1
2024/7/25 18:00:00,3.5,0,8,1
2024/7/25 19:00:00,0.0,0,8,1
2024/7/25 20:00:00,9.0,0,8,1
