É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2024/09/24 01:13:35

,ó÷ìá,ó÷ìá,ó÷ìá,ó÷ìá
îNåéì˙éû,ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm),ç~êÖó (mm)
,,åªè€Ç»ÇµèÓïÒ,ïiéøèÓïÒ,ãœéøî‘çÜ
2024/9/18 1:00:00,0,1,8,1
2024/9/18 2:00:00,0,1,8,1
2024/9/18 3:00:00,0,1,8,1
2024/9/18 4:00:00,0,1,8,1
2024/9/18 5:00:00,0,1,8,1
2024/9/18 6:00:00,0,1,8,1
2024/9/18 7:00:00,0,1,8,1
2024/9/18 8:00:00,0,1,8,1
2024/9/18 9:00:00,0,1,8,1
2024/9/18 10:00:00,0,1,8,1
2024/9/18 11:00:00,0,1,8,1
2024/9/18 12:00:00,0,1,8,1
2024/9/18 13:00:00,0,1,8,1
2024/9/18 14:00:00,0,1,8,1
2024/9/18 15:00:00,0,1,8,1
2024/9/18 16:00:00,0.0,0,8,1
2024/9/18 17:00:00,0,1,8,1
2024/9/18 18:00:00,0,1,8,1
2024/9/18 19:00:00,0.0,0,8,1
2024/9/18 20:00:00,0.0,0,8,1
2024/9/18 21:00:00,0.0,0,8,1
2024/9/18 22:00:00,0,1,8,1
2024/9/18 23:00:00,0.0,0,8,1
2024/9/19 00:00:00,0.0,0,8,1
2024/9/19 1:00:00,0.0,0,8,1
2024/9/19 2:00:00,2.0,0,8,1
2024/9/19 3:00:00,5.0,0,8,1
2024/9/19 4:00:00,11.5,0,8,1
2024/9/19 5:00:00,0.5,0,8,1
2024/9/19 6:00:00,2.5,0,8,1
2024/9/19 7:00:00,0.5,0,8,1
2024/9/19 8:00:00,2.5,0,8,1
2024/9/19 9:00:00,4.0,0,8,1
2024/9/19 10:00:00,1.5,0,8,1
2024/9/19 11:00:00,29.5,0,8,1
2024/9/19 12:00:00,8.0,0,8,1
2024/9/19 13:00:00,6.0,0,8,1
2024/9/19 14:00:00,0.0,0,8,1
2024/9/19 15:00:00,0.0,0,8,1
2024/9/19 16:00:00,1.0,0,8,1
2024/9/19 17:00:00,0.0,0,8,1
2024/9/19 18:00:00,0,1,8,1
2024/9/19 19:00:00,0,1,8,1
2024/9/19 20:00:00,0,1,8,1
2024/9/19 21:00:00,0,1,8,1
2024/9/19 22:00:00,0,1,8,1
2024/9/19 23:00:00,0,1,8,1
2024/9/20 00:00:00,0.0,0,8,1
2024/9/20 1:00:00,0.0,0,8,1
2024/9/20 2:00:00,0.0,0,8,1
2024/9/20 3:00:00,0,1,8,1
2024/9/20 4:00:00,0.0,0,8,1
2024/9/20 5:00:00,0,1,8,1
2024/9/20 6:00:00,0,1,8,1
2024/9/20 7:00:00,0,1,8,1
2024/9/20 8:00:00,0,1,8,1
2024/9/20 9:00:00,0,1,8,1
2024/9/20 10:00:00,0,1,8,1
2024/9/20 11:00:00,0,1,8,1
2024/9/20 12:00:00,0,1,8,1
2024/9/20 13:00:00,0,1,8,1
2024/9/20 14:00:00,0,1,8,1
2024/9/20 15:00:00,0,1,8,1
2024/9/20 16:00:00,0,1,8,1
2024/9/20 17:00:00,0,1,8,1
2024/9/20 18:00:00,0,1,8,1
2024/9/20 19:00:00,0,1,8,1
2024/9/20 20:00:00,0,1,8,1
2024/9/20 21:00:00,0.0,0,8,1
2024/9/20 22:00:00,0.0,0,8,1
2024/9/20 23:00:00,0.5,0,8,1
2024/9/21 00:00:00,20.0,0,8,1
2024/9/21 1:00:00,2.0,0,8,1
2024/9/21 2:00:00,0.5,0,8,1
2024/9/21 3:00:00,1.5,0,8,1
2024/9/21 4:00:00,7.5,0,8,1
2024/9/21 5:00:00,1.5,0,8,1
2024/9/21 6:00:00,21.0,0,8,1
2024/9/21 7:00:00,7.0,0,8,1
2024/9/21 8:00:00,9.0,0,8,1
2024/9/21 9:00:00,98.5,0,8,1
2024/9/21 10:00:00,83.5,0,8,1
2024/9/21 11:00:00,38.0,0,8,1
2024/9/21 12:00:00,28.0,0,8,1
2024/9/21 13:00:00,15.5,0,8,1
2024/9/21 14:00:00,6.5,0,8,1
2024/9/21 15:00:00,7.5,0,8,1
2024/9/21 16:00:00,3.0,0,8,1
2024/9/21 17:00:00,2.5,0,8,1
2024/9/21 18:00:00,1.0,0,8,1
2024/9/21 19:00:00,0.0,0,8,1
2024/9/21 20:00:00,2.0,0,8,1
2024/9/21 21:00:00,7.0,0,8,1
2024/9/21 22:00:00,6.5,0,8,1
2024/9/21 23:00:00,9.5,0,8,1
2024/9/22 00:00:00,2.5,0,8,1
2024/9/22 1:00:00,3.5,0,8,1
2024/9/22 2:00:00,7.0,0,8,1
2024/9/22 3:00:00,6.0,0,8,1
2024/9/22 4:00:00,5.0,0,8,1
2024/9/22 5:00:00,2.5,0,8,1
2024/9/22 6:00:00,3.0,0,8,1
2024/9/22 7:00:00,40.0,0,8,1
2024/9/22 8:00:00,33.5,0,8,1
2024/9/22 9:00:00,15.0,0,8,1
2024/9/22 10:00:00,1.0,0,8,1
2024/9/22 11:00:00,0.0,0,8,1
2024/9/22 12:00:00,0.0,0,8,1
2024/9/22 13:00:00,0.0,0,8,1
2024/9/22 14:00:00,0.0,0,8,1
2024/9/22 15:00:00,0,1,8,1
2024/9/22 16:00:00,0,1,8,1
2024/9/22 17:00:00,0,1,8,1
2024/9/22 18:00:00,0,1,8,1
2024/9/22 19:00:00,0,1,8,1
2024/9/22 20:00:00,0,1,8,1
2024/9/22 21:00:00,0,1,8,1
2024/9/22 22:00:00,0,1,8,1
2024/9/22 23:00:00,0.0,0,8,1
2024/9/23 00:00:00,2.5,0,8,1
2024/9/23 1:00:00,0.0,0,8,1
2024/9/23 2:00:00,0.5,0,8,1
2024/9/23 3:00:00,6.0,0,8,1
2024/9/23 4:00:00,0.0,0,8,1
2024/9/23 5:00:00,0.0,0,8,1
2024/9/23 6:00:00,0.0,0,8,1
2024/9/23 7:00:00,0.0,0,8,1
2024/9/23 8:00:00,0.0,0,8,1
2024/9/23 9:00:00,0,1,8,1
2024/9/23 10:00:00,0.5,0,8,1
2024/9/23 11:00:00,0,1,8,1
2024/9/23 12:00:00,0,1,8,1
2024/9/23 13:00:00,0,1,8,1
2024/9/23 14:00:00,0,1,8,1
2024/9/23 15:00:00,0,1,8,1
2024/9/23 16:00:00,0,1,8,1
2024/9/23 17:00:00,0,1,8,1
2024/9/23 18:00:00,0,1,8,1
2024/9/23 19:00:00,0,1,8,1
2024/9/23 20:00:00,0,1,8,1
2024/9/23 21:00:00,0.0,0,8,1
2024/9/23 22:00:00,0,1,8,1
2024/9/23 23:00:00,0,1,8,1
2024/9/24 00:00:00,0,1,8,1
